Connecting to IBKR...
Successfully connected to IBKR on port 7497!
[IBKR Sync] Live Account Net Liquidation: $3052.56

===================================================================================================================
    INTELLIGENT FPBV BOT SCAN: PHASE 2 | CASH: $3052.56 | DEBT PAID: True
===================================================================================================================

===================================================================================================================
Ticker   | Close    | RSI    | EMA_20   | Signal          | Trade Details
GLW      | $177.31  | 43.1   | $186.31  | HOLD            | No trade setup.
STZ      | $141.35  | 48.5   | $143.28  | HOLD            | No trade setup.
CTVA     | $76.66   | 24.1   | $79.08   | HOLD            | Oversold stock (24.1) bypassed: no upcoming earnings catalyst in catalysts database.
COO      | $67.39   | 75.4   | $62.09   | HOLD            | No trade setup.
CSGP     | $33.71   | 59.1   | $33.70   | HOLD            | No trade setup.
CRH      | $104.81  | 53.5   | $106.56  | HOLD            | No trade setup.
CRWD     | $673.27  | 61.1   | $651.06  | HOLD            | No trade setup.
CSX      | $47.10   | 61.5   | $45.74   | HOLD            | No trade setup.
CMI      | $652.07  | 39.8   | $664.07  | HOLD            | No trade setup.
DDOG     | $232.28  | 59.8   | $221.16  | HOLD            | No trade setup.
DHR      | $184.19  | 75.9   | $177.15  | HOLD            | No trade setup.
DECK     | $108.15  | 73.6   | $106.30  | HOLD            | No trade setup.
DVN      | $44.47   | 25.0   | $46.42   | HOLD            | Oversold stock (25.0) bypassed: no upcoming earnings catalyst in catalysts database.
DXCM     | $72.58   | 78.5   | $69.38   | HOLD            | No trade setup.
FANG     | $194.23  | 42.0   | $199.07  | HOLD            | No trade setup.
DASH     | $155.60  | 46.9   | $159.62  | HOLD            | No trade setup.
DOV      | $214.79  | 57.0   | $213.35  | HOLD            | No trade setup.
DHI      | $145.54  | 68.8   | $145.34  | HOLD            | No trade setup.
EBAY     | $109.71  | 36.7   | $110.11  | HOLD            | No trade setup.
ETN      | $395.96  | 48.5   | $403.35  | HOLD            | No trade setup.
EW       | $84.93   | 60.7   | $84.83   | HOLD            | No trade setup.
ELV      | $414.85  | 62.6   | $390.73  | HOLD            | No trade setup.
EA       | $202.93  | 70.8   | $201.77  | HOLD            | No trade setup.
ECL      | $257.80  | 61.3   | $255.61  | HOLD            | No trade setup.
EQT      | $53.76   | 40.1   | $56.06   | HOLD            | No trade setup.
EPAM     | $98.00   | 56.6   | $102.59  | HOLD            | No trade setup.
EMR      | $137.70  | 58.5   | $139.22  | HOLD            | No trade setup.
EOG      | $137.92  | 46.1   | $137.82  | HOLD            | No trade setup.
EFX      | $170.50  | 66.5   | $168.64  | HOLD            | No trade setup.
EXE      | $92.47   | 39.4   | $94.75   | HOLD            | No trade setup.
FAST     | $46.68   | 73.8   | $44.92   | HOLD            | No trade setup.
XOM      | $150.09  | 37.6   | $151.23  | HOLD            | No trade setup.
FICO     | $1136.23 | 54.4   | $1183.02 | HOLD            | No trade setup.
FDX      | $331.66  | 71.4   | $320.37  | HOLD            | No trade setup.
FDS      | $253.40  | 74.1   | $238.19  | HOLD            | No trade setup.
FFIV     | $395.18  | 67.0   | $380.59  | HOLD            | No trade setup.
FSLR     | $278.14  | 64.3   | $269.49  | HOLD            | No trade setup.
FTNT     | $144.09  | 71.2   | $130.16  | HOLD            | No trade setup.
FOX      | $59.85   | 56.8   | $58.25   | HOLD            | No trade setup.
FCX      | $63.11   | 50.2   | $65.05   | HOLD            | No trade setup.
FTV      | $61.06   | 63.3   | $59.85   | HOLD            | No trade setup.
FOXA     | $66.67   | 56.2   | $64.98   | HOLD            | No trade setup.
GE       | $327.92  | 84.2   | $310.59  | HOLD            | No trade setup.
GRMN     | $235.59  | 61.6   | $238.62  | HOLD            | No trade setup.
GEV      | $932.54  | 29.9   | $1002.43 | HOLD            | Oversold stock (29.9) bypassed: no upcoming earnings catalyst in catalysts database.
GNRC     | $261.14  | 48.8   | $266.37  | HOLD            | No trade setup.
GEHC     | $64.21   | 69.5   | $63.46   | HOLD            | No trade setup.
HSIC     | $77.33   | 83.1   | $74.95   | HOLD            | No trade setup.
GPC      | $97.96   | 66.3   | $99.09   | HOLD            | No trade setup.
GILD     | $129.70  | 50.3   | $131.68  | HOLD            | No trade setup.
HIG      | $131.73  | 46.6   | $131.04  | HOLD            | No trade setup.
GL       | $158.80  | 56.1   | $153.76  | HOLD            | No trade setup.
HPE      | $49.35   | 75.0   | $41.29   | HOLD            | No trade setup.
HSY      | $185.24  | 47.9   | $188.94  | HOLD            | No trade setup.
HCA      | $371.94  | 15.6   | $394.62  | HOLD            | Oversold stock (15.6) bypassed: no upcoming earnings catalyst in catalysts database.
HST      | $24.67   | 86.5   | $22.88   | HOLD            | No trade setup.
HPQ      | $25.57   | 65.4   | $24.30   | HOLD            | No trade setup.
IDXX     | $560.99  | 66.4   | $557.91  | HOLD            | No trade setup.
IEX      | $215.38  | 63.1   | $211.04  | HOLD            | No trade setup.
IR       | $72.10   | 56.8   | $72.59   | HOLD            | No trade setup.
INCY     | $102.61  | 69.5   | $97.61   | HOLD            | No trade setup.
PODD     | $152.87  | 56.0   | $153.41  | HOLD            | No trade setup.
ICE      | $139.92  | 24.1   | $148.56  | HOLD            | Oversold stock (24.1) bypassed: no upcoming earnings catalyst in catalysts database.
INTU     | $295.09  | 29.8   | $340.77  | HOLD            | Oversold stock (29.8) bypassed: no upcoming earnings catalyst in catalysts database.
IP       | $33.26   | 72.8   | $32.65   | HOLD            | No trade setup.
JNJ      | $232.70  | 61.7   | $227.65  | HOLD            | No trade setup.
JKHY     | $130.07  | 37.0   | $138.02  | HOLD            | No trade setup.
JCI      | $143.57  | 50.6   | $140.62  | HOLD            | No trade setup.
IVZ      | $27.27   | 51.1   | $27.25   | HOLD            | No trade setup.
ISRG     | $420.77  | 49.8   | $428.40  | HOLD            | No trade setup.
IFF      | $72.84   | 49.1   | $74.54   | HOLD            | No trade setup.
KVUE     | $17.66   | 60.7   | $17.30   | HOLD            | No trade setup.
KEYS     | $330.63  | 41.1   | $343.32  | HOLD            | No trade setup.
J        | $122.76  | 82.9   | $119.75  | HOLD            | No trade setup.
KLAC     | $1950.07 | 59.1   | $1925.12 | HOLD            | No trade setup.
KHC      | $22.52   | 44.7   | $23.25   | HOLD            | No trade setup.
LH       | $265.60  | 71.7   | $258.84  | HOLD            | No trade setup.
LRCX     | $307.25  | 58.7   | $307.40  | HOLD            | No trade setup.
LII      | $504.72  | 52.0   | $504.79  | HOLD            | No trade setup.
LIN      | $508.45  | 53.5   | $503.85  | HOLD            | No trade setup.
LLY      | $1134.16 | 72.0   | $1053.90 | HOLD            | No trade setup.
L        | $107.22  | 55.2   | $106.30  | HOLD            | No trade setup.
LOW      | $209.94  | 37.2   | $216.67  | HOLD            | No trade setup.
LULU     | $115.35  | 44.1   | $128.12  | HOLD            | No trade setup.
MLM      | $575.02  | 57.4   | $574.79  | HOLD            | No trade setup.
MAR      | $389.55  | 77.9   | $371.70  | HOLD            | No trade setup.
MCD      | $278.56  | 55.4   | $278.64  | HOLD            | No trade setup.
MRSH     | $165.40  | 56.9   | $163.05  | HOLD            | No trade setup.
LITE     | $870.41  | 42.5   | $919.70  | HOLD            | No trade setup.
MKC      | $47.22   | 55.6   | $47.36   | HOLD            | No trade setup.
META     | $590.90  | 42.1   | $615.96  | HOLD            | No trade setup.
MDT      | $81.38   | 65.2   | $77.98   | HOLD            | No trade setup.
MTD      | $1151.55 | 72.0   | $1153.47 | HOLD            | No trade setup.
MRK      | $121.29  | 66.6   | $116.73  | HOLD            | No trade setup.
MU       | $879.24  | 61.5   | $854.40  | HOLD            | No trade setup.
MSFT     | $416.24  | 47.9   | $424.23  | HOLD            | No trade setup.
MSCI     | $613.88  | 69.2   | $603.02  | HOLD            | No trade setup.
TAP      | $38.99   | 41.0   | $40.31   | HOLD            | No trade setup.
MNST     | $89.42   | 58.9   | $86.43   | HOLD            | No trade setup.
MPWR     | $1510.85 | 47.4   | $1582.02 | HOLD            | No trade setup.
MDLZ     | $62.26   | 62.0   | $61.22   | HOLD            | No trade setup.
NDAQ     | $86.67   | 37.3   | $89.63   | HOLD            | No trade setup.
NTAP     | $167.48  | 77.1   | $147.44  | HOLD            | No trade setup.
NWS      | $31.15   | 61.2   | $30.26   | HOLD            | No trade setup.
NFLX     | $81.86   | 30.9   | $86.37   | HOLD            | No trade setup.
NEM      | $100.05  | 37.2   | $108.91  | HOLD            | No trade setup.
NWSA     | $27.12   | 61.0   | $26.39   | HOLD            | No trade setup.
NKE      | $43.12   | 58.1   | $44.11   | HOLD            | No trade setup.
NDSN     | $282.72  | 57.8   | $284.03  | HOLD            | No trade setup.
NSC      | $314.08  | 48.5   | $310.94  | HOLD            | No trade setup.
ORLY     | $90.12   | 55.7   | $89.81   | HOLD            | No trade setup.
NVR      | $6179.85 | 85.0   | $6096.22 | HOLD            | No trade setup.
NXPI     | $299.05  | 53.1   | $305.78  | HOLD            | No trade setup.
NOC      | $543.18  | 52.4   | $552.92  | HOLD            | No trade setup.
ON       | $119.55  | 55.1   | $117.18  | HOLD            | No trade setup.
ODFL     | $242.12  | 89.0   | $220.29  | HOLD            | No trade setup.
OTIS     | $70.10   | 43.8   | $71.89   | HOLD            | No trade setup.
OXY      | $57.13   | 39.2   | $58.07   | HOLD            | No trade setup.
PKG      | $221.52  | 63.3   | $219.09  | HOLD            | No trade setup.
PLTR     | $135.13  | 50.9   | $141.65  | HOLD            | No trade setup.
PANW     | $271.33  | 61.3   | $253.65  | HOLD            | No trade setup.
PNR      | $73.12   | 51.9   | $74.23   | HOLD            | No trade setup.
PYPL     | $41.12   | 29.4   | $44.32   | HOLD            | Oversold stock (29.4) bypassed: no upcoming earnings catalyst in catalysts database.
PM       | $178.17  | 31.2   | $178.31  | HOLD            | No trade setup.
PFE      | $26.00   | 62.4   | $25.86   | HOLD            | No trade setup.
POOL     | $185.49  | 65.7   | $185.50  | HOLD            | No trade setup.
PPG      | $113.68  | 75.9   | $109.92  | HOLD            | No trade setup.
PFG      | $104.99  | 67.6   | $101.84  | HOLD            | No trade setup.
PRU      | $104.49  | 62.2   | $101.17  | HOLD            | No trade setup.
PG       | $145.98  | 58.7   | $143.30  | HOLD            | No trade setup.
PSA      | $310.92  | 69.7   | $303.48  | HOLD            | No trade setup.
PTC      | $137.27  | 43.2   | $141.57  | HOLD            | No trade setup.
PHM      | $118.61  | 79.9   | $117.50  | HOLD            | No trade setup.
Q        | $142.39  | 38.0   | $152.18  | HOLD            | No trade setup.
QCOM     | $218.46  | 55.2   | $220.21  | HOLD            | No trade setup.
RL       | $365.45  | 68.8   | $360.44  | HOLD            | No trade setup.
RTX      | $181.02  | 66.3   | $177.29  | HOLD            | No trade setup.
DGX      | $199.99  | 75.7   | $193.91  | HOLD            | No trade setup.
REGN     | $635.39  | 32.2   | $648.21  | HOLD            | No trade setup.
RSG      | $210.46  | 53.3   | $206.35  | HOLD            | No trade setup.
RVTY     | $98.06   | 58.7   | $97.92   | HOLD            | No trade setup.
ROK      | $444.11  | 48.3   | $446.77  | HOLD            | No trade setup.
ROL      | $47.19   | 27.4   | $50.07   | HOLD            | Oversold stock (27.4) bypassed: no upcoming earnings catalyst in catalysts database.
ROP      | $330.92  | 56.8   | $332.12  | HOLD            | No trade setup.
ROST     | $229.75  | 64.4   | $225.98  | HOLD            | No trade setup.
RMD      | $195.09  | 42.8   | $199.88  | HOLD            | No trade setup.
CRM      | $185.54  | 57.9   | $185.08  | HOLD            | No trade setup.
SNDK     | $1566.97 | 57.6   | $1541.54 | HOLD            | No trade setup.
SPGI     | $423.94  | 63.4   | $419.06  | HOLD            | No trade setup.
NOW      | $111.93  | 60.2   | $108.81  | HOLD            | No trade setup.
SWKS     | $74.02   | 57.2   | $74.48   | HOLD            | No trade setup.
SNA      | $378.63  | 72.7   | $371.51  | HOLD            | No trade setup.
SJM      | $103.68  | 58.1   | $100.99  | HOLD            | No trade setup.
SWK      | $78.18   | 62.3   | $77.85   | HOLD            | No trade setup.
SYK      | $304.77  | 48.4   | $305.74  | HOLD            | No trade setup.
STE      | $211.87  | 49.5   | $213.43  | HOLD            | No trade setup.
TTWO     | $213.57  | 22.1   | $222.58  | HOLD            | Oversold stock (22.1) bypassed: no upcoming earnings catalyst in catalysts database.
TROW     | $105.75  | 66.7   | $103.55  | HOLD            | No trade setup.
TER      | $364.23  | 56.5   | $371.56  | HOLD            | No trade setup.
TDY      | $603.02  | 45.0   | $620.75  | HOLD            | No trade setup.
TXN      | $286.57  | 42.6   | $297.89  | HOLD            | No trade setup.
TGT      | $122.21  | 51.2   | $124.59  | HOLD            | No trade setup.
TEL      | $211.99  | 58.0   | $210.94  | HOLD            | No trade setup.
TT       | $454.49  | 42.6   | $460.27  | HOLD            | No trade setup.
TKO      | $205.08  | 65.0   | $196.56  | HOLD            | No trade setup.
TTD      | $19.92   | 44.6   | $21.62   | HOLD            | No trade setup.
TRV      | $302.61  | 53.2   | $298.07  | HOLD            | No trade setup.
TMO      | $470.49  | 65.7   | $470.44  | HOLD            | No trade setup.
TJX      | $160.34  | 72.4   | $155.64  | HOLD            | No trade setup.
TYL      | $310.54  | 49.3   | $314.66  | HOLD            | No trade setup.
TRMB     | $53.90   | 44.7   | $57.36   | HOLD            | No trade setup.
UBER     | $70.61   | 35.1   | $72.71   | HOLD            | No trade setup.
ULTA     | $464.38  | 38.6   | $498.50  | HOLD            | No trade setup.
UPS      | $108.66  | 78.5   | $104.23  | HOLD            | No trade setup.
UAL      | $105.45  | 65.6   | $103.38  | HOLD            | No trade setup.
UNP      | $272.31  | 52.7   | $265.54  | HOLD            | No trade setup.
URI      | $1059.03 | 71.3   | $983.44  | HOLD            | No trade setup.
UHS      | $145.52  | 18.6   | $155.62  | HOLD            | Oversold stock (18.6) bypassed: no upcoming earnings catalyst in catalysts database.
VEEV     | $173.48  | 61.6   | $169.75  | HOLD            | No trade setup.
VLTO     | $86.15   | 54.6   | $85.39   | HOLD            | No trade setup.
VRSN     | $293.83  | 47.5   | $293.07  | HOLD            | No trade setup.
VRSK     | $181.52  | 78.6   | $175.46  | HOLD            | No trade setup.
VTRS     | $15.94   | 43.2   | $15.98   | HOLD            | No trade setup.
VZ       | $45.56   | 43.9   | $47.17   | HOLD            | No trade setup.
V        | $323.56  | 47.6   | $322.57  | HOLD            | No trade setup.
VRTX     | $445.00  | 56.0   | $437.42  | HOLD            | No trade setup.
WRB      | $68.50   | 58.1   | $66.26   | HOLD            | No trade setup.
VMC      | $281.20  | 65.2   | $278.35  | HOLD            | No trade setup.
GWW      | $1293.51 | 58.8   | $1246.63 | HOLD            | No trade setup.
WMT      | $119.15  | 30.0   | $121.73  | HOLD            | Oversold stock (30.0) bypassed: no upcoming earnings catalyst in catalysts database.
DIS      | $99.48   | 38.3   | $102.28  | HOLD            | No trade setup.
WBD      | $26.17   | 33.5   | $27.02   | HOLD            | No trade setup.
WST      | $315.14  | 63.2   | $311.33  | HOLD            | No trade setup.
WAB      | $260.68  | 46.5   | $261.39  | HOLD            | No trade setup.
WDC      | $516.58  | 57.0   | $510.37  | HOLD            | No trade setup.
WSM      | $205.42  | 87.5   | $195.19  | HOLD            | No trade setup.
WTW      | $262.83  | 64.7   | $257.83  | HOLD            | No trade setup.
XYL      | $109.51  | 56.7   | $110.71  | HOLD            | No trade setup.
WDAY     | $143.89  | 63.3   | $135.52  | HOLD            | No trade setup.
ZBH      | $86.76   | 63.4   | $84.78   | HOLD            | No trade setup.
ZBRA     | $231.95  | 32.2   | $243.76  | HOLD            | No trade setup.
===================================================================================================================

Paper trading execution sweep complete.
API connection failed: ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
Make sure API port on TWS/IBG is open
Connecting to IBKR...
Failed to connect to IBKR: [WinError 1225] The remote computer refused the network connection
Please ensure TWS or IB Gateway is running, API is enabled, and the port is correct.
